,Compound,Ave_Conc,Std,Ave_Conc_Min,Ave_Conc_Max
50,Carnosine,1.4005311924689952,0.26649597899758853,1.1340352134714067,1.6670271714665836
51,Succinate,1.4616870982926702,0.03034097333442952,1.4313461249582407,1.4920280716270997
52,Alpha Ketoglutarate,1.6714050775268994,0.23808635480497878,1.4333187227219206,1.9094914323318781
53,Glutamine,2.478182034719587,0.18505689134576866,2.2931251433738185,2.6632389260653557
54,Tryptophan,2.4990317407987295,0.07566265142182409,2.4233690893769055,2.5746943922205534
55,Asparagine,3.3532200301308954,0.1268144805485722,3.2264055495823234,3.4800345106794675
56,Myoinositol,3.947950263453802,0.6545573209548718,3.2933929424989303,4.602507584408674
57,Methionine Sulfoxide,4.611103062224417,0.17921920024990304,4.431883861974514,4.790322262474319
58,Ornithine,5.832683476518382,0.20804544045400378,5.624638036064378,6.040728916972387
59,O-Phospho-L-Serine,6.387661709129887,0.2760724058582703,6.111589303271616,6.6637341149881575
60,Glucose,16.50856718271755,1.2363789377381922,15.272188244979358,17.74494612045574
61,Tyrosine,28.02362599918455,0.9095767386782515,27.1140492605063,28.9332027378628
62,Histidine,36.21830540561814,1.8511393003133927,34.36716610530475,38.06944470593153
63,Methionine,49.64185673474551,1.1608829220493628,48.48097381269615,50.80273965679487
64,Phenylalanine,62.93442395928377,1.559487864726917,61.37493609455685,64.49391182401068
65,Arginine,65.09695849846436,4.0692664853403215,61.02769201312404,69.16622498380468
66,Threonine,71.64529880512976,2.756411570007902,68.88888723512186,74.40171037513765
67,Trehalose,84.32490354572685,3.1280012214292947,81.19690232429755,87.45290476715616
68,Isoleucine,135.09764705023133,7.413495654823593,127.68415139540774,142.51114270505494
69,Leucine,136.95112086646938,7.515205198868416,129.43591566760097,144.4663260653378
70,Valine,141.5465597195885,7.256099629581684,134.2904600900068,148.80265934917017
71,Lysine,150.18051447219491,14.1059033853881,136.0746110868068,164.28641785758302
72,Alanine,152.84972822417157,10.189730407630355,142.65999781654122,163.03945863180192
73,Serine,153.1395134154592,7.419098216163533,145.72041519929564,160.55861163162274
74,Proline,181.05364575303463,11.409528079254748,169.64411767377987,192.46317383228939
75,Aspartate,318.11624371335046,13.354108762490073,304.7621349508604,331.4703524758405
76,Glutamate,394.0106380875909,14.637731416309755,379.37290667128116,408.64836950390065
