,Compound,Flux_mean,Std,Flux_min,Flux_max
0,Acetoacetate,0.027620251160489988,0.0016508926144477628,0.025969358546042223,0.029271143774937752
1,Acetyl-Threonine,-0.0071631606467375195,0.0026445513845287706,-0.00980771203126629,-0.004518609262208749
2,Adenine,-0.0844008112352737,0.0003931243346844167,-0.08479393556995811,-0.08400768690058928
3,Adenosine,-0.4072895996470492,0.0018371897797732995,-0.4091267894268225,-0.4054524098672759
4,Adenosine monophosphate,-0.1482495342132821,0.0007819139754262837,-0.1490314481887084,-0.1474676202378558
5,Alanine,-12.147108701703115,1.6979161026045866,-13.845024804307702,-10.449192599098527
6,Alpha Ketoglutarate,-1.9493545421415457,0.03602069199149926,-1.9853752341330448,-1.9133338501500465
7,Arabitol,-0.043148550821364755,0.0015571277658219666,-0.04470567858718672,-0.04159142305554279
8,Arginine,-54.62377144773498,0.7797765664580611,-55.40354801419304,-53.84399488127692
9,Asparagine,-2.0076274488295325,0.021675538227051424,-2.029302987056584,-1.985951910602481
10,Aspartate,-19.046474421788318,2.273689251471757,-21.320163673260076,-16.77278517031656
11,Biotin,0.0023540155905276273,0.00013436880745705304,0.002219646783070574,0.0024883843979846805
12,Carnosine,-0.3768815558258415,0.023664649471636504,-0.400546205297478,-0.353216906354205
13,Citrulline,1.5704650430395792,0.057586777522092396,1.5128782655174868,1.6280518205616716
14,Creatinine,-0.45025290187418543,0.0267026986710898,-0.47695560054527525,-0.4235502032030956
15,Cysteic Acid,-0.2171349030480357,0.001258792080786979,-0.21839369512882267,-0.21587611096724874
16,Cysteine,,,,
17,Cystine,-0.5554703373352967,0.012543296251858687,-0.5680136335871554,-0.542927041083438
18,Cytidine,-0.00262109527623387,0.0013205779426562639,-0.003941673218890134,-0.001300517333577606
19,Cytosine,0.0030762758138435467,0.004289203475551416,-0.0012129276617078694,0.007365479289394962
20,DihydroOrotate,0.14536756962719877,0.0056500110618969345,0.13971755856530182,0.1510175806890957
21,Folate,,,,
22,Fructose1-6 Bisphosphate,,,,
23,Fumarate,-0.18552701860045331,0.006703659310397178,-0.1922306779108505,-0.17882335929005613
24,Glucose,-16.136281283616018,0.011577394200210662,-16.147858677816227,-16.12470388941581
25,Glucose-6-Phosphate,-0.3010720156998211,0.007325327320467523,-0.30839734302028865,-0.2937466883793536
26,Glutamate,-17.680808473616484,2.4346094865982435,-20.115417960214728,-15.24619898701824
27,Glutamine,-0.07534148035692227,0.028476233122653755,-0.10381771347957602,-0.04686524723426852
28,Guanine,-0.040423905351706216,5.512663615647881e-05,-0.04047903198786269,-0.04036877871554974
29,Guanosine,-0.08203721891500756,0.00017825820280239804,-0.08221547711780997,-0.08185896071220516
30,Hippurate,-0.09125451760544705,0.000143124880660852,-0.0913976424861079,-0.09111139272478619
31,Histidine,-3.5438304349372927,0.27370517402097494,-3.8175356089582677,-3.2701252609163176
32,Hypoxanthine,-0.040534968471264476,5.797839192695488e-05,-0.04059294686319143,-0.04047699007933752
33,Inosine,-0.06468286059381127,0.000139041623877796,-0.06482190221768906,-0.06454381896993348
34,Isoleucine,13.48629646393201,1.822652966791165,11.663643497140846,15.308949430723175
35,Itaconate,-0.08866186836184375,0.00010487663102492694,-0.08876674499286868,-0.08855699173081882
36,Leucine,13.671321872735973,1.8476588763965285,11.823662996339445,15.518980749132501
37,Lysine,-21.570931815372955,1.9602091136250244,-23.531140928997978,-19.61072270174793
38,Methionine,5.433021816497321,0.3370053914909691,5.096016425006352,5.77002720798829
39,Methionine Sulfoxide,-0.10973274719401138,0.031054309014427687,-0.14078705620843907,-0.0786784381795837
40,Mevalonate acid,2.548352130987779,0.06507244944256364,2.483279681545215,2.6134245804303426
41,Myoinositol,-5.268220517159698,0.05764176105611986,-5.325862278215817,-5.210578756103578
42,N-Acetyl-Aspartate,-0.015434082015128688,0.006604870426113461,-0.022038952441242148,-0.008829211589015227
43,N-Acetyl-Glucosamine,-0.163875869918763,0.0007670970913746823,-0.16464296701013767,-0.1631087728273883
44,N-Acetyl-Glutamate,-0.10987865624848112,0.00046622787528948097,-0.1103448841237706,-0.10941242837319164
45,N-Acetyl-Glutamine,-0.14823164388403265,0.0013280570933175203,-0.14955970097735016,-0.14690358679071513
