,Compound,Flux_mean,Std,Flux_min,Flux_max
0,Acetoacetate,-0.8106528467695415,0.00919488335771556,-0.8198477301272571,-0.801457963411826
1,Acetyl-Threonine,-1.0553668925759347,0.01153142598150252,-1.0668983185574372,-1.0438354665944323
2,Adenine,-3.8404032123442047,0.0203856474527014,-3.860788859796906,-3.8200175648915033
3,Adenosine,-2.0961642674599448,0.21610558841944583,-2.3122698558793906,-1.880058679040499
4,Adenosine monophosphate,-1.0100812917263098,0.08751069341543559,-1.0975919851417453,-0.9225705983108742
5,Alanine,-1.1041162843893675,0.010598413760002945,-1.1147146981493705,-1.0935178706293645
6,Alpha Ketoglutarate,-1.1999983986811862,0.29325015912576885,-1.493248557806955,-0.9067482395554174
7,Arabitol,-1.350295244670465,0.01086635205982744,-1.3611615967302924,-1.3394288926106377
8,Arginine,-3.9749890427890118,0.06687648456163114,-4.041865527350643,-3.908112558227381
9,Asparagine,-1.9767133467624263,0.01649834737794414,-1.9932116941403704,-1.9602149993844822
10,Aspartate,-1.0717700426989376,0.0077332649286017555,-1.0795033076275393,-1.064036777770336
11,Biotin,-0.8126584816928355,0.0113624712069207,-0.8240209528997562,-0.8012960104859148
12,Carnosine,-1.3618136603872906,0.0797933347359758,-1.4416069951232664,-1.2820203256513147
13,Citrulline,0.44622790701917103,0.06821127741773363,0.3780166296014374,0.5144391844369046
14,Creatinine,-1.2129937476798331,0.4158993084845424,-1.6288930561643755,-0.7970944391952908
15,Cysteic Acid,-1.412518487183568,0.14182028242465664,-1.5543387696082247,-1.2706982047589115
16,Cysteine,,,,
17,Cystine,-1.3808070610677854,0.4030733166486165,-1.7838803777164018,-0.9777337444191689
18,Cytidine,-1.0415133990720657,0.15011943502419725,-1.191632834096263,-0.8913939640478685
19,Cytosine,-0.9832870090779603,0.007330758270621842,-0.9906177673485821,-0.9759562508073385
20,DihydroOrotate,-0.15137711840012458,0.02039117284054875,-0.17176829124067333,-0.13098594555957582
21,Folate,,,,
22,Fructose1-6 Bisphosphate,,,,
23,Fumarate,-1.3758344407941392,0.01253131363121542,-1.3883657544253547,-1.3633031271629237
24,Glucose,-4.842576489056467,0.033992947751171815,-4.876569436807639,-4.808583541305294
25,Glucose-6-Phosphate,-1.1236478275584072,0.3652194548365524,-1.4888672823949596,-0.7584283727218548
26,Glutamate,-1.0543177472350087,0.006996512814308103,-1.0613142600493168,-1.0473212344207006
27,Glutamine,-1.054853611176612,0.010685538805839315,-1.0655391499824514,-1.0441680723707727
28,Guanine,-1.9814583327198905,0.06433579883855696,-2.0457941315584476,-1.9171225338813336
29,Guanosine,-2.2310116198376413,0.11491035525307229,-2.3459219750907137,-2.116101264584569
30,Hippurate,-3.658519859401553,0.01631936891203996,-3.674839228313593,-3.6422004904895133
31,Histidine,-1.1180433574249082,0.007583008151573608,-1.1256263655764818,-1.1104603492733347
32,Hypoxanthine,-3.154796881494876,0.05008555666532262,-3.2048824381601984,-3.1047113248295535
33,Inosine,-3.2643232221498195,0.27980327021643125,-3.5441264923662508,-2.9845199519333883
34,Isoleucine,-0.9368535285486023,0.01171620567206175,-0.948569734220664,-0.9251373228765405
35,Itaconate,-3.166549304224241,0.007803116142376639,-3.174352420366618,-3.1587461880818646
36,Leucine,-0.9368535285486023,0.01171620567206175,-0.948569734220664,-0.9251373228765405
37,Lysine,-1.2263678245504621,0.04166027746472807,-1.2680281020151902,-1.184707547085734
38,Methionine,-0.9168930225545034,0.008549555774544993,-0.9254425783290484,-0.9083434667799585
39,Methionine Sulfoxide,-1.0331895383551526,0.006904014598713052,-1.0400935529538657,-1.0262855237564394
40,Mevalonate acid,1.5251854757428958,0.018990976266140575,1.506194499476755,1.5441764520090364
41,Myoinositol,-1.198184616060018,0.20634454698264887,-1.4045291630426668,-0.9918400690773692
42,N-Acetyl-Aspartate,-1.0690405876645805,0.014726598246035021,-1.0837671859106155,-1.0543139894185456
43,N-Acetyl-Glucosamine,-1.2616646495886825,0.10882437972918807,-1.3704890293178706,-1.1528402698594944
44,N-Acetyl-Glutamate,-2.381401500112659,0.011213466192347027,-2.3926149663050063,-2.370188033920312
45,N-Acetyl-Glutamine,-2.4562538495775397,0.020041273136198502,-2.476295122713738,-2.436212576441341
46,N-Acetyl-Glycine,-1.5228810777670123,0.00988979079761205,-1.5327708685646244,-1.5129912869694002
47,N-Acetyl-Leucine,-2.322131775215021,0.010774653123344448,-2.332906428338365,-2.3113571220916764
48,N-Acetyl-Methionine,0.5595643998565353,0.014640870698417005,0.5449235291581183,0.5742052705549523
